,CrunchBase Ranking,Company Name/Organisation Name,Acquired by,About,Location,Number of Employees,Industry,IPO Status,Website,Founded Date,Headquarters,Founders,Operating Status,Hub Tags,Last Funding Type,Company Type,Investor Type,Investment Stage,Number of Investors,Number Funding Rounds,Total Funding Amount,Number of exits,Number of Lead Investors,Number of Acquisitions,Number of Current Team Members (core team),Number of Board Members/Advisors,Total Products Active,Product Downloads in the Last 30 Days,Active Tech Count,Monthly Visits,Monthly Visits Growth,Number of Articles,Number of Events,Number of Funds,Number of Investments,Number of Diversity Investments,Number of Exits,Related Hubs,Stock Symbol,IPO Date,Number of Sub,Organisations,Funding Rounds,Funds Raised (for VC),Number of Lead Investments
26,27,crowdstrike,NA,"['CrowdStrike is a cybersecurity technology firm pioneering cloud delivered next-generation endpoint protection and services.', 'cost and complexity for customers.\nCrowdStrike’s Falcon platform is delivered via the security industry’s only 100% native cloud architecture, integrated with 24/7 managed hunting capabilities and in-house threat intelligence and incident response teams. CrowdStrike’s unique Threat Graph harnesses the cloud to instantly analyze data from billions of endpoint events across a global crowdsourcing community, allowing detection and prevention of attacks based on patented behavioral pattern recognition technology.']","Sunnyvale, California, United States",501-1000,"['Crowdsourcing', 'Cyber Security', 'Network Security', 'SaaS']",Public,www.crowdstrike.com,['2011'],"['San Francisco Bay Area, Silicon Valley, West Coast']","['Dmitri Alperovitch, George Kurtz, Gregg Marston']",['Active'],NA,['Series E'],['For Profit'],NA,NA,11,7,$481M,NA,4,3,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,28,unacademy,NA,"['Unacademy is an online learning platform that provides educational content such as video lectures and examinations.', 'Unacademy is a learning platform that provides content for major competitive examinations as well as offers short lectures in the form of videos on different subjects which can be accessed for free. It allows aspiring students to better prepare for their competitive examinations and promote self-learning.\nUnacademy was originally created in 2010', 'via YouTube channel and was officially launched in 2015. The company is based in Bangalore, India.']","Bangalore, Karnataka, India",251-500,"['E-Learning', 'EdTech', 'Education', 'Training']",Private,unacademy.com/,['2015'],['Asia-Pacific (APAC)'],"['Gaurav Munjal, Hemesh Singh, Roman Saini, Sachin Gupta']",['Active'],NA,['Venture - Series Unknown'],['For Profit'],NA,NA,36,NA,$398.5M,NA,NA,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,29,facebook,NA,"['Facebook is an online social networking service that enables its users to connect with friends and family.', 'Facebook is an online social networking service that allows its users to connect with friends and family as well as make new connections.\nIt provides its users with the ability to create a profile, update information, add images, send friend requests, and accept requests from other users. Its features include status update, photo tagging and', 'sharing, and more. Facebook’s profile structure includes a timeline, information related to the user, images of the user, images added by friends of the user, notes, pages, groups, and more. It enables its users to create pages related to entertainment, sports, business, finance, preferences, hobbies, culture, religion, causes, organizations, and a number of other categories. It also enables its users to join or create groups related to a vast number of categories.\nWith millions of more users, [Friendster] attempted to acquire the company for $10 million in mid-2004. Facebook turned down the offer and subsequently received $12.7 million in funding from [Accel Partners] at a valuation of around $100 million. Facebook continued to grow opening up to high school students in September 2005 and adding a photo-sharing feature the next month. The next spring, Facebook received $25 million in funding from [Greylock Partners] and [Meritech Capital] as well as previous investors [Accel Partners] and [Peter Thiel]. The pre-money valuation for this deal was about $525 million. Facebook subsequently opened up to work networks eventually amassing over 20,000 work networks. Finally, in September 2006, Facebook was opened to anyone with an email address.\nFacebook continued to receive funding most notably in January 2011 receiving $1.5 billion and valuing the company at $50 billion. A year later in February 2012, Facebook announced that it was filing for its long-anticipated initial public offering. The company went public on May 18, 2012 opening in [NASDAQ] with shares trading at $42.05.\nFacebook announced positive numbers in February 2012 upon filing for its IPO. As of July 2013 over 1.15 billion users have logged into Facebook every month and 669 million users daily. Mobile users now make up half of Facebook’s user base with 819 million monthly actives. Facebook is one of the most trafficked sites in the United States. Additionally, Facebook is the top photo-sharing site with 250 million photos uploaded per day.\nThe company has a strategic partnership with AXA Group to develop marketing and commercial collaboration in the digital, social, and mobile sphere.\nFacebook is currently the owner of many applications and services such as Pagemodo Pagebuilder, [RSS Graffiti], Huddle, and more. It is the world’s largest social network with over 1.32 billion monthly active users.\nFacebook was founded by Mark Zuckerberg in Menlo Park, California in 2004.']","Menlo Park, California, United States",10001+,"['Mobile Apps', 'Social', 'Social Media', 'Social Network']",Public,www.facebook.com,"['Feb 4, 2004']","['San Francisco Bay Area, Silicon Valley, West Coast']","['Andrew McCollum, Chris Hughes, Dustin Moskovitz, Eduardo Saverin, Mark Zuckerberg, Nicholas Daniel-Richards, Rob Jagnow']",['Active'],NA,['Post-IPO Equity'],['For Profit'],NA,NA,26,17,$16.1B,NA,11,89,876,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,30,bitwise-industries,NA,"['Bitwise is a tech ecosystem that provides access to resources for those in marginalized communities.', 'custom software development firm, Shift3 Technologies. And, the ever-growing place component is made up of Bitwise’s collaborative workplace, Hashtag, the technology hub, Bitwise South Stadium, and two new projects currently under construction in downtown Fresno, Bitwise|41 and Bitwise State Center Warehouse.']","Fresno, California, United States",101-250,"['Coworking', 'Education', 'Human Resources', 'Software', 'Training']",Private,bitwiseindustries.com/,"['Jul 1, 2013']","['West Coast, Western US']","['Irma Olguin, Jake Soberal']",['Active'],NA,['Series B'],['For Profit'],NA,NA,16,NA,$77M,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,31,auth0,NA,"['Auth0 is an identity management platform for web, mobile, IoT, and internal applications.', 'AAuth0 is an identity management platform for application builders and developers. It provides Auth0, a web-scale cloud solution that includes APIs and tools that enable developers to eliminate the friction of authentication and authorization of their applications and APIs.\nAuth0 enables users to single sign-on for applications running on various', ""platforms with various identity providers; add few lines of JavaScript to power their applications; customize various stages of the authentication and authorization pipeline, and connect their applications and APIs to their database of users and passwords. Its platform also allows users to authenticate to active directory, LDAP, SAML, Integrated Windows Authentication, Google Apps, Salesforce, and other IdPs without having to configure firewall; add and remove users, modify profiles and authorization attributes, and identify root cause user login issues; see a stream of recent logins and their locations; and enable various SaaS and SAML-enabled applications.\nAuth0's solution works with iOS, Android, and Windows Phone 8 platforms. Its platform is used by large and small enterprises, and startups.""]","Bellevue, Washington, United States",501-1000,"['Developer APIs', 'Enterprise Software', 'Identity Management', 'Information Technology']",Private,auth0.com/,"['Feb 1, 2013']","['Greater Seattle Area, West Coast, Western US']","['Eugenio Pace, Matias Woloski']",['Active'],NA,['Series F'],['For Profit'],NA,NA,15,NA,$332.3M,NA,NA,1,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,32,deliveroo,NA,"['Deliveroo owns and operates an online food delivery platform in the United Kingdom.', 'Deliveroo owns and operates an online food delivery platform in the United Kingdom. Its platform allows users to order food from local restaurants. Gregory Orlowski and William Shu founded Deliveroo in 2012. It has its headquarters in London in the United Kingdom.']","London, England, United Kingdom",1001-5000,"['Delivery', 'Food and Beverage', 'Food Delivery', 'Restaurants', 'Same Day Delivery']",Private,deliveroo.co.uk/,['2012'],NA,"['Greg Orlowski, William Shu']",['Active'],NA,['Series H'],['For Profit'],NA,NA,28,NA,$1.7B,NA,NA,2,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,33,okta,NA,"['Okta is a management platform that secures critical resources from cloud to ground for workforce and customers.', 'device. Thousands of customers, including Experian, 20th Century Fox, LinkedIn, Flex, News Corp, Dish Networks, and Adobe trust Okta to work faster, boost revenue, and stay secure.\nOkta helps customers fulfill their missions faster by making it safe and easy to use the technologies they need to do their most significant work.']","San Francisco, California, United States",1001-5000,"['CRM', 'Enterprise Software', 'Identity Management', 'Management Information Systems']",Public,www.okta.com,"['Jan 1, 2009']","['San Francisco Bay Area, West Coast, Western US']","['Frederic Kerrest, Todd McKinnon']",['Active'],NA,['Secondary Market'],['For Profit'],NA,NA,16,8,$229.3M,NA,3,5,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,34,roku,NA,"['Roku pioneers streaming for the TV and aspires to power every TV in the world.', 'by our growing, passionate and highly engaged customer base who love Roku streaming devices because of our coveted content selection, ease of use, and value.']","Los Gatos, California, United States",1001-5000,"['Advertising Platforms', 'Consumer Electronics', 'Digital Entertainment', 'Hardware']",Public,www.roku.com/,"['Oct 1, 2002']","['San Francisco Bay Area, Silicon Valley, West Coast']",['Anthony Wood'],['Active'],NA,['Series H'],['For Profit'],NA,NA,14,11,$208.6M,NA,5,4,24,NA,49,NA,82,"24,947,811",-7.26%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,35,nearpod,NA,"['Nearpod is a provider of edtech platform for K-12 teachers to create interactive slides filled with videos, quizzes, and other activities.', 'Nearpod is an all-in-one solution for the synchronized use of iPads in the classroom that makes lectures more engaging through interactive multimedia presentations. With Nearpod, teachers can create mobile presentations, engage students in class, and assess them in real time.\nThe fast adoption of tablet computing and mobile devices is having a', 'profound impact on education. Nearpod allows educators to very easily take their existing presentations, convert them into mobile-friendly content, and engage all students to convert them into active classroom participants. Teachers can deliver their existing content through mobile (iOS or Android) devices and get instant feedback from students through interactive features like polls, quizzes, drawing activities, and others.']","Dania, Florida, United States",251-500,"['E-Learning', 'EdTech', 'Education', 'Mobile Apps', 'Skill Assessment', 'Virtual Reality']",Private,www.nearpod.com,['2012'],"['Greater Miami Area, East Coast, Southern US']","['Emiliano Abramzon, Felipe Sommer, Guido Kovalskys']",['Active'],NA,['Series B'],['For Profit'],NA,NA,20,NA,$30.7M,NA,NA,1,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,36,epic-games-2,NA,"['Epic Games is an American video game and software company that creates games and offers its game engine technology to other developers.', 'interactive experiences for PC, console, mobile, and virtual reality devices.\nIt was founded in 1991 and is headquartered in Cary, North Carolina.']","Cary, North Carolina, United States",1001-5000,"['Developer Platform', 'Gaming', 'Software', 'Video Games']",Private,www.epicgames.com,['1991'],"['Research Triangle, East Coast, Southern US']",['Mark Rein'],['Active'],NA,['Venture - Series Unknown'],['For Profit'],NA,NA,22,6,$3.4B,NA,4,13,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,37,promise,NA,"['PromisePay provides a modern payment processing platform built for utilities and government agencies.', 'payment plans. PromisePay has a team working 24/7 to talk to residents and help them make their payments. This means residents pay off debt faster, the government gets more revenue, and government works better for everyone.\nPromise is a financial services technology company. PromisePay builds payment processing tools and services for the government. Promise has a team of technology and government experts from companies like Palantir, Stripe, and Google, and has raised over $11M from investors like First Round, 8VC, Roc Nation, Jay Z, and Y Combinator.']","Oakland, California, United States",11-50,"['Debt Collections', 'Financial Services', 'FinTech', 'Government', 'Mobile Payments']",NA,joinpromise.com/,['2017'],"['San Francisco Bay Area, West Coast, Western US']","['Diana Frappier, Phaedra Ellis-Lamkins']",['Active'],NA,['Series A'],['For Profit'],NA,NA,NA,NA,$23.1M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,38,peloton-interactive,NA,"['Peloton is an interactive fitness platform reinventing fitness with live and on-demand boutique studio classes.', 'comprehensive and socially connected experience that makes every workout both efficient and addicting. By merging hardware, software, and content, the company creates the most unique, efficient, and addicting workout experience on the market. Peloton is sold online and in its growing number of showrooms across the country.\nThe company was founded in 2012 and is headquartered in New York.']","New York, New York, United States",1001-5000,"['Cycling', 'Fitness', 'Wellness']",Public,www.onepeloton.com,['2012'],"['Greater New York Area, East Coast, Northeastern US']","['Graham Stanton, John Foley, Tom Cortese, Yony Feng']",['Active'],NA,['Post-IPO Debt'],['For Profit'],NA,NA,20,9,$1.9B,NA,7,4,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,39,kraken,NA,"['Kraken is a cryptocurrency exchange that provides spot and futures trading between Bitcoin, Ethereum and 40+ other digital assets.', 'playing an important role in the mainstream adoption of crypto assets.Kraken is a marketplace for digital assets where buyers, sellers, traders and speculators come together to exchange cryptocurrencies like Bitcoin, Ethereum, Litecoin and Ripple against national currencies like USD, EUR, CAD and JPY. Clients trading larger sizes benefit from our principal Over-the-Counter (OTC) desk and white glove service. Advanced traders and technical analysis wizards can take advantage of our professional charting tools. Software engineers, botters and hobbyist automators have available both REST and Websocket APIs with which trades can be made and market information obtained. Kraken provides 24/7 live chat support for any questions you have about getting started.']","San Francisco, California, United States",1001-5000,"['Asset Management', 'Bitcoin', 'Blockchain', 'Ethereum', 'Financial Exchanges', 'Financial Services', 'FinTech', 'Personal Finance', 'Stock Exchanges', 'Trading Platform']",NA,www.kraken.com/,"['Jul 28, 2011']","['San Francisco Bay Area, West Coast, Western US']",['Jesse Powell'],['Active'],NA,['Secondary Market'],['For Profit'],NA,NA,NA,NA,$118.5M,NA,NA,10,NA,NA,19,NA,NA,"16,091,549",70.65%,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,40,twitch,NA,"['Twitch is social video platform for gamers where more than 100 million gather every month to broadcast, watch and talk about video games.', 'outlets, events, user generated content, and the entire esports scene. In February 2014, Wall Street Journal ranked Twitch as the 4th largest website in terms of peak internet traffic in the U.S. fortifying the brand as an entertainment industry leader and the epicenter of social video for gamers.']","San Francisco, California, United States",251-500,"['Social Media', 'Video', 'Video Games', 'Video Streaming']",Private,www.twitch.tv/,['2007'],"['San Francisco Bay Area, West Coast, Western US']","['Emmett Shear, Justin Kan, Kevin Lin, Kyle Vogt, Michael Seibel, Omar Javed']",['Active'],NA,['Series C'],['For Profit'],NA,NA,9,3,$35M,NA,2,6,56,NA,49,NA,6,"924,395,874",8.26%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,41,uipath,NA,"['UiPath is a software company developing robotic process automation and artificial intelligence software.', 'UiPath designs and develops robotic process automation software. The platform offers foolproof development tools, automation of intricate processes, enhanced control, cloud and on-premise deployment, robust governance, and multiple robots on a single virtual machine. UiPath was founded in 2005 and headquartered in New York, United States.']","New York, New York, United States",1001-5000,"['Artificial Intelligence', 'Enterprise Software', 'Information Technology', 'Machine Learning']",Private,www.uipath.com,['2005'],"['Greater New York Area, East Coast, Northeastern US']","['Daniel Dines, Marius Tirca']",['Active'],NA,['Series F'],['For Profit'],NA,NA,27,NA,$2B,NA,NA,2,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,42,skydio,NA,"['Skydio uses artificial intelligence to create flying drones that are used by consumer, enterprise, and government customers.', ""Skydio is a drone manufacturer that uses artificial intelligence to create flying drones that are used by consumers, enterprises, and government customers.\nIt develops AI-powered drones to deliver the power and flying cameras without the complexity. The company's drones use an array of cameras and proprietary computer vision technology to"", ""recognize, avoid objects in real-time, and predict into the future to make intelligent decisions, enabling users by flying themselves through the most demanding tasks or keeping them safe from obstacles when they want to take control. The company's debut drone, the R1, could track a target and film them while avoiding obstacles without any human intervention required. Then the company released the Skydio 2 in 2019, its second drone, cutting off more than half the price while improving it its autonomous tracking and video capabilities. Its flagship product, the X2, is equipped with seven cameras, 100x zoom, night vision, and promises to turn ordinary users into expert pilots thanks to its self-piloting abilities. It is backed by top investors and strategic partners including Andreessen Horowitz, Linse Capital, Next47, IVP, Playground, NVIDIA, and UP.Partners.\nAbraham Bachrach, Adam Bry, and Matt Donahoe founded Klarna in Redwood City, California in 2014.""]","Redwood City, California, United States",101-250,"['Artificial Intelligence', 'Drone Management', 'Drones', 'Robotics', 'Software']",Private,www.skydio.com,['2014'],"['San Francisco Bay Area, Silicon Valley, West Coast']","['Abraham Bachrach, Adam Bry, Matt Donahoe']",['Active'],NA,['Series D'],['For Profit'],NA,NA,15,NA,$340M,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,43,shopify,NA,"['Shopify is a cloud-based, multi-channel commerce platform designed for small and medium-sized businesses.', 'a powerful back-office and a single view of their business.\nShopify offers online retailers a suite of services including marketing, customer engagement, payments, and shipping tools to simplify the process of running an online store for small merchants. They launched an application programming interface (API) platform and App Store that allows developers to create applications for Shopify online stores and then sell them on the Shopify App Store.\nThe Shopify platform was engineered for reliability and scale, making enterprise-level technology available to businesses of all sizes. Shopify currently powers over 800,000 businesses in approximately 175 countries and is trusted by brands such as Tesla, Red Bull, Nestle, GE, Kylie Cosmetics, and many more.\nShopify was founded in 2004 and is headquartered in Ottawa, Ontario, Canada.']","Ottawa, Ontario, Canada",1001-5000,"['E-Commerce', 'E-Commerce Platforms', 'Enterprise Software', 'SaaS']",Public,www.shopify.com,"['Jun 2, 2004']",['Great Lakes'],"['Daniel Weinand, Scott Lake, Tobias Lütke']",['Active'],NA,['Series C'],['For Profit'],NA,NA,8,4,$122.3M,NA,5,11,95,NA,79,"4,123,202",143,"128,179,990",1.1%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,44,sitecore,NA,"['Sitecore is a customer experience management company that provides multichannel marketing automation software and web content management.', ""minute interaction – and intention – that customers and prospects have with a brand, both on a website and across other digital channels.\nSitecore creates human connections between brands and their customers with rich end-to-end content, seamless commerce, and always-on personalization so brands can thrive in a world where, without a digital experience, there is no product. The company's Experience Cloud empowers marketers to deliver personalized content in realtime and at scale across every channel—before, during, and after a sale.\nSitecore has 3,500+ customers worldwide, including leading global brands including American Express, Carnival Cruise Lines, easyJet, Heineken, and Microsoft, as well as governments, associations, and public institutions. There are approximately 8,000 certified Sitecore developers and 23,000 active members in Sitecore’s developer network.\nSitecore has been positioned by Gartner, Inc. in the Leaders Quadrant of the Magic Quadrant for Web Content Management (WCM) for four consecutive years. Sitecore has also been positioned by Gartner in the Visionaries Quadrant of the 2013 & 2012 Magic Quadrant for Multichannel Campaign Management (MCCM).""]","San Francisco, California, United States",1001-5000,"['Analytics', 'Content', 'Customer Service', 'E-Commerce', 'Email Marketing', 'Internet', 'Software', 'Web Development']",Private,www.sitecore.com,"['Apr 26, 2001']","['San Francisco Bay Area, West Coast, Western US']","['Kasper Kjaerbye Larsen, Lars Nielsen, Michael Seifert']",['Active'],NA,['Private Equity'],['For Profit'],NA,NA,3,NA,$1.2B,NA,NA,5,14,NA,33,NA,95,"364,380",1.95%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,45,n26,NA,"['N26 offers mobile banking in 25 markets.', 'N26 offers mobile banking solutions to customers in the European Union through its subsidiary. It provides international money transfer, investment, overdraft, and cash withdrawal and deposit at stores.\nN26 provides mobile banking services for customers. Its mobile banking services offer online banking that include making and handling of current', 'accounts, fixed accounts, and other banking services, letting customers manage and control their banking details via a smartphone application easily.\nMaximilian Tayenthal and Valentin Stalf founded Papayer in February 2013, which later became N26, with its headquarters in Berlin in Germany.']","Berlin, Berlin, Germany",1001-5000,"['Banking', 'Finance', 'Financial Services', 'FinTech']",Private,n26.com,['Feb 2013'],['European Union (EU)'],"['Maximilian Tayenthal, Valentin Stalf']",['Active'],NA,['Venture - Series Unknown'],['For Profit'],NA,NA,18,10,$819M,NA,6,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,46,ripple-labs,NA,"['Ripple provides one frictionless experience to send money globally using the power of blockchain.', 'enterprises to gain access to cross-currency liquidity through a distributed network that allows foreign exchange to be externally sourced from a competitive FX marketplace or an internal FX trading desk. This minimizes FX exposure thereby lowering the volatility and counter-party risk of trades. Ripple Insights features industry updates, insider perspectives, and in-depth market analysis.']","San Francisco, California, United States",501-1000,"['Blockchain', 'Cryptocurrency', 'Financial Services', 'FinTech', 'Internet', 'Payments']",Private,ripple.com,['2012'],"['San Francisco Bay Area, West Coast, Western US']","['Arthur Britto, Chris Larsen, Ryan Fugger']",['Active'],NA,['Secondary Market'],['For Profit'],NA,NA,36,13,$293.8M,1,5,1,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
46,47,boohoo-com,NA,"['Boohoo is an online store that offers a range of clothing, accessories, and footwear brands.', 'Oasis & Warehouse design, sources, markets and sells clothing, shoes, accessories, and beauty products.\nThe company was founded in 2006 by Carol Kane and Mahmud Kamani in Manchester, Manchester, United Kingdom.']","Manchester, Manchester, United Kingdom",1001-5000,"['Beauty', 'E-Commerce Platforms', 'Fashion', 'Lifestyle', 'Shopping']",Public,www.boohooplc.com/,"['Apr 8, 2006']",NA,"['Carol Kane, Mahmud Kamani']",['Active'],NA,['Post-IPO Equity'],['For Profit'],NA,NA,NA,1,£50M,NA,NA,10,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,48,tencent,NA,"['Tencent is an internet service portal offering value-added internet, mobile, telecom, and online advertising services.', 'Tencent is an internet service portal offering value-added internet, mobile, telecom, and online advertising services. Its communications and social platforms Weixin and QQ connect users with each other, with digital content and daily life services in just a few clicks.\nTencent has maintained steady growth under its user-oriented operating', 'strategies. It provides value-added internet, mobile, and telecom services, as well as online advertising under the strategic goal of providing users with ""one-stop online lifestyle services."" Tencent’s Internet platforms in China – QQ (QQ Instant Messenger), WeChat, QQ.com, QQ Games, Qzone, 3g.QQ.com, SoSo, PaiPai, and Tenpay – aim to address the various needs of internet users, including communication, information, entertainment, e-commerce, and others.\nIn September 2013, Tencent\'s market valuation rose to $101 billion, and as of November 21, 2013, QQ had 2 billion active users and WeChat had 650 million monthly active users. The numbers of active users for QQ mail, Qzone, Tencent Weibo, and QQ news were 274 million, 626 million, 220 million, and 150 million, respectively.\nTencent was founded in November of 1998. In April 2000, the IDG and PCCW invested a total of $2.2 million dollars in the company. Tencent was listed on the Hong Kong Stock Exchange (SEHK) on June 16, 2004. Baidu, Alibaba, and Netease are Tencent\'s major competitors.']","Shenzhen, Guangdong, China",10001+,"['Internet', 'Online Games', 'Online Portals', 'Social Media Marketing']",Public,www.tencent.com/en-us/,"['Nov 1, 1998']",['Asia-Pacific (APAC)'],"['Charles Chen, Chenye Xu, Jason Zeng, Pony Ma, Zhidong Zhang']",['Active'],NA,['Post-IPO Debt'],['For Profit'],NA,NA,4,NA,$6.6B,NA,NA,18,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,549,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,49,maude-group,NA,"['maude is redefining the sex essentials industry for modern consumers to make intimacy better—for all people.', 'health.']","Brooklyn, New York, United States",1-10,"['Consumer Goods', 'E-Commerce', 'Health Care', 'Personal Health', 'Wellness']",Private,getmaude.com,['2018'],"['Greater New York Area, East Coast, Northeastern US']",['Eva Goicochea'],['Active'],NA,['Seed'],['For Profit'],NA,NA,22,NA,$4.3M,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
